YEAR,DATA_VALUE,CATEGORY,INDICATOR_NAME,SIGN,INDICATOR_TYPE
2021,11214454,Commercial,Commercial_HERRING_Landings_LBS,N/A,Socioeconomic
2010,144977010,Commercial,Commercial_HERRING_Landings_LBS,N/A,Socioeconomic
2009,224665482,Commercial,Commercial_HERRING_Landings_LBS,N/A,Socioeconomic
2007,163113192,Commercial,Commercial_HERRING_Landings_LBS,N/A,Socioeconomic
2001,215410225,Commercial,Commercial_HERRING_Landings_LBS,N/A,Socioeconomic
2020,21015695,Commercial,Commercial_HERRING_Landings_LBS,N/A,Socioeconomic
2024,22651000,Commercial,Commercial_HERRING_Landings_LBS,N/A,Socioeconomic
2023,22142456,Commercial,Commercial_HERRING_Landings_LBS,N/A,Socioeconomic
2014,206278130,Commercial,Commercial_HERRING_Landings_LBS,N/A,Socioeconomic
2004,185337027,Commercial,Commercial_HERRING_Landings_LBS,N/A,Socioeconomic
1997,213727170,Commercial,Commercial_HERRING_Landings_LBS,N/A,Socioeconomic
2019,28655997,Commercial,Commercial_HERRING_Landings_LBS,N/A,Socioeconomic
2012,193505848,Commercial,Commercial_HERRING_Landings_LBS,N/A,Socioeconomic
2013,208154042,Commercial,Commercial_HERRING_Landings_LBS,N/A,Socioeconomic
2006,212128036,Commercial,Commercial_HERRING_Landings_LBS,N/A,Socioeconomic
2002,150772959,Commercial,Commercial_HERRING_Landings_LBS,N/A,Socioeconomic
1999,175008372,Commercial,Commercial_HERRING_Landings_LBS,N/A,Socioeconomic
2017,108166026,Commercial,Commercial_HERRING_Landings_LBS,N/A,Socioeconomic
2022,9301245,Commercial,Commercial_HERRING_Landings_LBS,N/A,Socioeconomic
2016,138384978,Commercial,Commercial_HERRING_Landings_LBS,N/A,Socioeconomic
2015,175780908,Commercial,Commercial_HERRING_Landings_LBS,N/A,Socioeconomic
1998,181442464,Commercial,Commercial_HERRING_Landings_LBS,N/A,Socioeconomic
1996,193384378,Commercial,Commercial_HERRING_Landings_LBS,N/A,Socioeconomic
2018,96511046,Commercial,Commercial_HERRING_Landings_LBS,N/A,Socioeconomic
2011,177099081,Commercial,Commercial_HERRING_Landings_LBS,N/A,Socioeconomic
2008,174421047,Commercial,Commercial_HERRING_Landings_LBS,N/A,Socioeconomic
2005,215310879,Commercial,Commercial_HERRING_Landings_LBS,N/A,Socioeconomic
2003,214171061,Commercial,Commercial_HERRING_Landings_LBS,N/A,Socioeconomic
2000,166300410,Commercial,Commercial_HERRING_Landings_LBS,N/A,Socioeconomic
2011,91,Commercial,N_Commercial_Vessels_Landing_HERRING,N/A,Socioeconomic
1999,65,Commercial,N_Commercial_Vessels_Landing_HERRING,N/A,Socioeconomic
2009,101,Commercial,N_Commercial_Vessels_Landing_HERRING,N/A,Socioeconomic
2008,96,Commercial,N_Commercial_Vessels_Landing_HERRING,N/A,Socioeconomic
2024,45,Commercial,N_Commercial_Vessels_Landing_HERRING,N/A,Socioeconomic
2016,82,Commercial,N_Commercial_Vessels_Landing_HERRING,N/A,Socioeconomic
2018,90,Commercial,N_Commercial_Vessels_Landing_HERRING,N/A,Socioeconomic
2003,56,Commercial,N_Commercial_Vessels_Landing_HERRING,N/A,Socioeconomic
2023,50,Commercial,N_Commercial_Vessels_Landing_HERRING,N/A,Socioeconomic
2014,85,Commercial,N_Commercial_Vessels_Landing_HERRING,N/A,Socioeconomic
2007,105,Commercial,N_Commercial_Vessels_Landing_HERRING,N/A,Socioeconomic
2001,44,Commercial,N_Commercial_Vessels_Landing_HERRING,N/A,Socioeconomic
2002,57,Commercial,N_Commercial_Vessels_Landing_HERRING,N/A,Socioeconomic
2010,107,Commercial,N_Commercial_Vessels_Landing_HERRING,N/A,Socioeconomic
2006,115,Commercial,N_Commercial_Vessels_Landing_HERRING,N/A,Socioeconomic
2019,67,Commercial,N_Commercial_Vessels_Landing_HERRING,N/A,Socioeconomic
2012,86,Commercial,N_Commercial_Vessels_Landing_HERRING,N/A,Socioeconomic
2021,61,Commercial,N_Commercial_Vessels_Landing_HERRING,N/A,Socioeconomic
