"Year","condition_GB","condition_GOM","condition_SS","Winter_NAO","Haddock_Predation","Optimal_temp_duration","Optimal_temp_start","Commercial_Landings","Active_Vessels","Price_per_Pound","Total_Commercial_Revenue","Fuel_Price","Vessel_Revenue_per_Year"
1992,0.799962096069122,0.935848709659114,1.0275602616771,0.5675,11.86277,88,"279",NA,NA,NA,NA,NA,NA
1993,1.03080270788493,1.05959116739584,1.05110782082873,0.81,11.87751,95,"271",NA,NA,NA,NA,NA,NA
1994,1.10035984586024,1.01063693373138,1.02459011350841,1.08,11.28651,102,"254",NA,NA,NA,NA,NA,NA
1995,1.04667547845453,1.03800204420904,1.02797059841507,1.335,12.49559,70,"296",NA,NA,NA,NA,NA,NA
1996,1.05397402229661,0.989086561549654,1.00246057282059,-0.525,11.86555,113,"248",193384378,74,0.1419290751,20059908,NA,271080
1997,1.03076988038785,0.97751191309069,1.08668006217861,0.315,12.00489,88,"278",213727170,82,0.1243587509,21035838,NA,256535
1998,1.05124096535624,0.982104127807027,0.98750628781432,0.0475,11.98227,93,"273",181442464,77,0.1858703345,19869688,NA,258048
1999,1.08384896128703,0.995965121650442,1.03374514792399,0.54,12.62818,68,"297",175008372,65,0.1444678903,19449306,NA,299220
2000,1.17652963217345,1.0114986199213,0.879534521062622,1.17,13.01156,93,"268",166300410,60,0.11719089,17568672,NA,292811
2001,1.03891156857478,0.971182698031167,0.961301008301058,-0.285,13.57461,85,"281",215410225,44,0.1229313016,21866578,NA,496968
2002,0.982664126578022,0.965430056316525,0.961086893392796,0.35,13.73692,73,"293",150772959,57,0.1228281185,16251848,NA,285120
2003,1.08635698907767,0.994948269213009,1.00818264140843,0.04,14.04201,82,"284",214171061,56,0.1315099001,25267444,NA,451204
2004,0.995639181207038,0.969476540276925,0.986441235475099,0.3075,14.43826,82,"285",185337027,89,0.1620216966,22972392,NA,258117
2005,1.00440036136986,0.957794762955674,0.968221380206063,0.21,14.30515,71,"295",215310879,95,0.1859317869,31048514,NA,326826
2006,1.07230963853045,0.994489014417817,0.987007816032032,-0.24085,14.49575,78,"288",212128036,115,0.2261739224,32749120,NA,284775
2007,1.13006728748769,1.04072546608098,1.00034834675614,0.63295,13.821,93,"273",163113192,105,0.2523909211,25392008,3,241829
2008,1.09216725157882,0.993228801810411,1.05082218019571,0.5111,13.43929,64,"294",174421047,96,0.2722089291,28966656,4,301736
2009,0.970993697014769,0.997289647775661,0.960165480109799,0.0862,14.69805,45,"280",224665482,101,0.2468440384,32548892,2,322266
2010,0.965623622657324,0.939292979696395,0.976972737621738,-1.475475,14.869,81,"285",144977010,107,0.2857818604,25660704,3,242082
2011,0.96615472964631,0.964999778487422,0.965820299431732,-0.352475,15.09514,64,"295",177099081,91,0.2630141973,31856212,4,353958
2012,1.03785944280187,0.962214491496476,0.95172120468794,1.3452,14.32885,56,"303",193505848,86,0.272816062,35624464,4,419111
2013,1.00682381085187,0.965714292870778,1.01165666512633,-0.387275,15.34882,60,"299",208154042,99,0.2471807003,39490916,4,398898
2014,1.0623859147195,0.971369716941868,0.999282965610754,0.842375,15.53164,65,"300",206278130,85,0.2348152548,37384256,4,439815
2015,1.09514308667982,0.972555132592411,0.974295238195753,1.604675,14.91029,66,"298",175780908,86,0.2359418124,31540226,2,366747
2016,1.03129195071805,0.995658676822135,0.953311198669934,1.1687,15.61389,66,"299",138384978,82,0.3087956011,36820336,2,449029
2017,0.970007014491317,0.951114374550744,0.91471876403012,0.674575,14.95662,62,"299",108166026,98,0.361605078,33850444,2,345413
2018,1.05167282187509,0.984806421604188,NA,0.7437,14.55184,75,"291",96511046,90,0.3705286682,28345120,3,314946
2019,1.04430289973868,0.957309326650863,0.983295163640058,0.681775,13.60456,63,"303",28655997,67,0.527217567,11690802,2,174490
2021,1.00442467205697,0.990091198437293,0.990194415016492,-0.136275,12.50965,55,"300",11214454,61,0.5680106878,4334243,2,72237
2022,0.981974898402084,0.974363423127198,0.957726205822227,0.95425,12.48181,50,"269",9301245,46,0.5415248275,3844874,4,85442
2023,1.10023929719732,1.03044980344238,1.02191915591665,0.22965,11.6451,96,"270",22142456,50,0.4686386883,7747716,3,158117
2024,1.11172794971534,1.02005931522669,0.997164564242493,0.75445,NA,56,"300",22651000,45,0.6233834028,8276793,2,188109
1983,NA,NA,NA,0.9475,11.74771,96,"259",NA,NA,NA,NA,NA,NA
1984,NA,NA,NA,0.575,11.68301,100,"265",NA,NA,NA,NA,NA,NA
1985,NA,NA,NA,-0.475,12.1814,77,"286",NA,NA,NA,NA,NA,NA
1986,NA,NA,NA,0.51,12.17466,90,"260",NA,NA,NA,NA,NA,NA
1987,NA,NA,NA,-0.1875,11.92468,99,"267",NA,NA,NA,NA,NA,NA
1988,NA,NA,NA,0.4825,12.60631,85,"282",NA,NA,NA,NA,NA,NA
1989,NA,NA,NA,1.4075,12.8309,85,"281",NA,NA,NA,NA,NA,NA
1990,NA,NA,NA,0.69,11.76604,74,"286",NA,NA,NA,NA,NA,NA
1991,NA,NA,NA,0.48,11.8402,80,"283",NA,NA,NA,NA,NA,NA
2020,NA,NA,NA,1.2036,13.06301,61,"306",21015695,65,0.4731618166,8132364,1,127068
2025,NA,NA,NA,0.645,NA,NA,NA,NA,NA,NA,NA,NA,NA
